"filename", "language", "C++", "Skill", "Markdown", "JSON", "Diff", "CMake", "C", "Batch", "GLSL", "PowerShell", "YAML", "Makefile", "Python", "JavaScript", "Shell Script", "PostCSS", "Properties", "HTML", "XML", "Perl", "HLSL", "Objective-C++", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Platform.cmake", "CMake", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 130
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Render.cmake", "CMake", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 140
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Utils.cmake", "CMake", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\ws-code\ws-kwik\kwik-ui\doc\1. 提示词.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 58
"c:\ws-code\ws-kwik\kwik-ui\doc\Text渲染流程.md", "Markdown", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156
"c:\ws-code\ws-kwik\kwik-ui\doc\事件处理流程.md", "Markdown", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193
"c:\ws-code\ws-kwik\kwik-ui\doc\渲染流程.md", "Markdown", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 114
"c:\ws-code\ws-kwik\kwik-ui\examples\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\ws-code\ws-kwik\kwik-ui\examples\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 8
"c:\ws-code\ws-kwik\kwik-ui\examples\demo.c", "C", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 89
"c:\ws-code\ws-kwik\kwik-ui\examples\event.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 70
"c:\ws-code\ws-kwik\kwik-ui\examples\example.cpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 56
"c:\ws-code\ws-kwik\kwik-ui\examples\example_vk.c", "C", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 126
"c:\ws-code\ws-kwik\kwik-ui\examples\flex.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 37
